,name,speakers,glottocode
0, 'Are'are,"99,999",area1240
1,!Gã!ne,,none found
2,Aari,"999,999",aari1239
3,Aasax,,aasa1238
4,Abadi,"9,999",abad1241
5,Abaga,9,abag1245
6,Abai Sungai,999,abai1240
7,Abai Tubu-Abai Sembuak,,abai1241
8,Abanyom,"99,999",aban1242
9,Abau,"9,999",abau1245
10,Abawiri,999,foau1240
11,Abaza,"99,999",abaz1241
12,Abé,"999,999",abee1242
13,Abenlen Ayta,"9,999",aben1249
14,Abidji,"99,999",abid1235
15,Abinomn,999,abin1243
16,Abipon,,abip1241
17,Abkhaz,"999,999",abkh1244
18,Abom,99,abom1238
19,Abon,999,abon1238
20,Abron,"9,999,999",abro1238
21,Abu,"9,999",abuu1241
22,Abu' Arapesh,"9,999",abua1245
23,Abua,"99,999",abua1244
24,Abui,"99,999",abui1241
25,Abun,"9,999",abun1252
26,Abure,"99,999",abur1243
27,Abureni,"9,999",abur1244
28,Acatepec Me'phaa,"99,999",acat1239
29,Acchami Nepali,"999,999",none found
